Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),Total Acceleration (m/s2),Total Acceleration (g)
0,0.653637,0.021548,9.835681,9.8574,3.804159,1.888188,10.510866,1.071444037
0.0020014,0.672791,0.011971,9.914692,9.9375,3.882621,1.01939,10.599454,1.080474414
0.0040028,0.67758,0.009577,10.015251,10.03815,3.870801,0.80978,10.702408,1.090969215
0.0060041,0.67758,0.01676,10.039194,10.062048,3.862394,1.416921,10.733534,1.0941421
0.0080055,0.64406,0.026337,10.034406,10.055088,3.675516,2.341645,10.704803,1.091213354
0.0100068,0.605752,0.071828,10.000886,10.019472,3.490427,6.76239,10.678466,1.088528644
0.0120045,0.596174,0.102954,9.98652,10.004828,3.466788,9.797817,10.685648,1.089260754
0.0140058,0.615329,0.153234,9.962578,9.982738,3.641961,13.983775,10.731141,1.093898165
0.0160072,0.658426,0.169994,9.953,9.976204,3.908559,14.476595,10.78142,1.099023445
0.0180091,0.67758,0.181965,9.953,9.977697,4.032161,15.03218,10.812545,1.102196228
0.0200105,0.754197,0.196331,9.993703,10.024044,4.459048,14.591251,10.944231,1.115619878
0.0220118,0.811659,0.177176,10.077502,10.111689,4.712766,12.313883,11.066337,1.128066972
0.0240131,0.835602,0.162811,10.122993,10.158727,4.807094,11.02551,11.121406,1.13368053
0.0260145,0.84039,0.162811,10.199611,10.235469,4.797385,10.964213,11.202812,1.141978797
0.0280158,0.797293,0.143656,10.276228,10.308112,4.50763,10.213974,11.217177,1.143443119
0.030013,0.768562,0.143656,10.304958,10.334578,4.338921,10.587321,11.217176,1.143443017
0.0320144,0.723071,0.162811,10.336084,10.362624,4.101502,12.689412,11.221966,1.143931295
0.0340157,0.696734,0.179571,10.355239,10.380205,3.974635,14.452429,11.231544,1.144907645
0.0360143,0.641666,0.184359,10.362421,10.383905,3.686315,16.030069,11.188446,1.140514373
0.0380157,0.605752,0.148445,10.31693,10.335764,3.459438,13.769506,11.071127,1.12855525
0.040017,0.596174,0.158022,10.30017,10.318619,3.426684,14.845452,11.054366,1.126846687
0.0420169,0.572232,0.153234,10.276228,10.293288,3.299246,14.991086,11.001694,1.121477472
0.0440183,0.550683,0.114925,10.230737,10.246191,3.14728,11.788183,10.896345,1.110738532
0.0460196,0.553077,0.098165,10.199611,10.215067,3.152253,10.064569,10.850853,1.106101223
0.0480207,0.557866,0.098165,10.127783,10.143611,3.201185,9.979921,10.783814,1.099267482
